"file_id"	"cases.samples.submitter_id"
"db31fa51-7539-4f06-99ce-00c3e3e3d562"	"TCGA-DK-A1AF-01A"
"e094af19-7daf-4d9c-8d9d-9e1f9acf9e26"	"TCGA-ZF-AA4T-01A"
"a5263c4a-6def-4624-b9ba-3ed4b9978bcd"	"TCGA-ZF-A9RC-01A"
"4bb61cec-a424-456b-bed5-993fca6ea1e6"	"TCGA-ZF-AA4V-01A"
"e6910820-8e89-4a54-9dba-b07959cdff72"	"TCGA-UY-A8OC-01A"
"09b33227-9520-4dfc-bd7d-4bfc74087de4"	"TCGA-CF-A47V-01A"
"1b32b485-0c18-4482-9ab5-4f0ae6a337fe"	"TCGA-BT-A2LA-11A"
"9989ebcd-7e5e-45c4-9e0f-3d30b68eb348"	"TCGA-2F-A9KQ-01A"
"ed50eae6-ffef-40dc-b8a1-10244adae830"	"TCGA-XF-A8HE-01A"
"3798d875-5ef0-4d9e-93b9-2ede31dc53cf"	"TCGA-OL-A5RW-01A"
"02415e27-7abc-4e58-b7aa-ea7c92fda8e9"	"TCGA-E2-A14U-01A"
"dd96243a-0f25-4ede-b169-e25c1e197328"	"TCGA-C8-A26V-01A"
"de55fccb-dc58-44bd-b027-12e1da525b4c"	"TCGA-E9-A5UP-01A"
"42f7963e-68e5-408d-874a-13dcb6228b5a"	"TCGA-BH-A0DZ-11A"
"187f3eef-fc49-4f48-b8ec-fd9cd33f1ef8"	"TCGA-E9-A1NE-01A"
"5a677549-2035-4c0e-8869-9e723e4972e8"	"TCGA-E2-A15E-06A"
"e9bcc089-a19c-4bd7-9950-fb4724574ed9"	"TCGA-A1-A0SQ-01A"
"d1500523-feb5-4b01-94d7-28d9ebf1fb74"	"TCGA-A2-A0EV-01A"
"5f693ba5-3845-4231-895b-c431db35452b"	"TCGA-A2-A0SX-01A"
"cf5b6af9-ec8b-48ef-b799-14fe78be4fdc"	"TCGA-E2-A1IU-01A"
"5bc05cc4-5738-4722-b03b-1a29bc1c3da5"	"TCGA-BH-A0BO-01A"
"afbb646d-469a-4ba2-8a8b-b83405ca3ad4"	"TCGA-E2-A1LS-01A"
"47efc1f4-8725-40db-ac47-aa98a52c95a7"	"TCGA-A8-A08A-01A"
"fdbac226-ffe4-427b-b9aa-d6859c0c6cf5"	"TCGA-A7-A26E-01A"
"a6138554-a705-41fe-9c9a-53381e40ca3e"	"TCGA-E2-A573-01A"
"61b737e2-5a35-4c17-b674-f4ddce8355bb"	"TCGA-E9-A3QA-01A"
"3b4a05f0-c5a8-4269-bfd2-b5993bd7c5ae"	"TCGA-AO-A1KS-01A"
"2ac252fe-b49c-4a68-af8b-83b5ac3fb6e2"	"TCGA-E9-A1R7-11A"
"ad3b3339-8a4a-4a58-8439-7b82544acec8"	"TCGA-AR-A2LH-01A"
"c6ef91c7-ed61-488f-ba27-b0019453e490"	"TCGA-BH-A202-01A"
"6cd5c6fe-bdb4-42cd-a493-7ce23c10c30c"	"TCGA-D8-A1JH-01A"
"f5931839-8380-4e79-816b-38ff08acb308"	"TCGA-D8-A1X9-01A"
"f1366a4f-73b0-40ba-8a63-c2b9dd27a18f"	"TCGA-D8-A1J8-01A"
"bdd374d0-f06b-48f0-986f-98d48540ebdf"	"TCGA-A2-A3XS-01A"
"41747e14-5c16-4315-934c-88ffc920df28"	"TCGA-BH-A18V-06A"
"ee581cf8-7034-43b2-be9b-d1f709d9b9c9"	"TCGA-GM-A5PV-01A"
"187536a2-942e-48ae-a6fe-0ffa3f1516a7"	"TCGA-B6-A0WW-01A"
"21dd15c2-099d-422f-9f05-cfd1170d5bfc"	"TCGA-A2-A04R-01A"
"1951b11c-c493-4d29-8f7c-e5ff155ba566"	"TCGA-F2-6879-01A"
"2bb739a6-1d9b-4415-a2fb-0ed9331df5ac"	"TCGA-GV-A3QI-01A"
"dad8e653-c845-4008-aaf6-e07c26b154dc"	"TCGA-DK-A3X2-01A"
"8a5bd5bf-476c-420b-85fd-da679529bc54"	"TCGA-CF-A9FF-01A"
"41a3d180-4e45-4104-80e8-3925da024377"	"TCGA-EB-A5KH-06A"
"06282310-7fc0-4725-b7e2-815a8ebc8da0"	"TCGA-FR-A2OS-01A"
"348d0b25-3d74-4069-9dac-ae0599ff4001"	"TCGA-ER-A2NE-06A"
"ab1dc5fc-34f4-44df-9847-8e2159bfdb16"	"TCGA-OR-A5KT-01A"
"0b50ee5b-3130-4401-84b1-630596632a12"	"TCGA-PK-A5HA-01A"
"dfb7de1a-cad1-4161-8446-18677584d71c"	"TCGA-OR-A5K0-01A"
"d1e27763-5f03-4069-aa7b-f0198baf7049"	"TCGA-AA-3693-01A"
"36edd5c6-ed0a-405f-98ee-13f43109f145"	"TCGA-G4-6314-01A"
"246ce24e-0757-473c-971e-67032ec64200"	"TCGA-D5-6537-01A"
"79b1cf4b-387c-4eff-962b-16569eb7f340"	"TCGA-CK-5913-01A"
"a0fd8f89-5fc3-4df0-b813-fc4326db6bd4"	"TCGA-AA-3509-01A"
"763e6f8f-9614-46d7-9055-e5a6566d94c0"	"TCGA-AA-3697-01A"
"e852e834-1385-49d8-aeff-06ee4d5c7e8f"	"TCGA-XF-AAMY-01A"
"0484bd52-a42c-4231-935a-fd008505766c"	"TCGA-IN-8462-01A"
"e3e40067-b39c-4f2e-9bb9-5011b7018029"	"TCGA-BR-6563-01A"
"950ec5a3-fb73-4e80-a2b9-e3c8297a38ca"	"TCGA-BR-8683-01A"
"bde7562e-44da-4918-bc41-88a0d372d8a0"	"TCGA-34-5239-01A"
"bf4ec628-3db0-44e2-a065-16a55be4b4a7"	"TCGA-34-8455-01A"
"8d120e05-fa78-4e18-af63-88c05816a10e"	"TCGA-98-8020-01A"
"a050fe0b-cba6-45c9-88e4-3586c9e99426"	"TCGA-46-3765-01A"
"463e47f0-6b75-436d-a430-15cb628e4135"	"TCGA-22-4596-01A"
"ad29ac56-bf18-4525-92ea-c0015a63a7f6"	"TCGA-77-8007-01A"
"4fc2849d-8306-4ee4-b07e-8b89b9d5f47d"	"TCGA-22-5480-01A"
